Company Name,Industry,Symbol,Series,ISIN Code,Name,Volume
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034,Havells,"8,17,076"
Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012,Tata Elxsi,"7,91,616"
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,Bajaj Finserv,"7,72,401"
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011,KPIT Technologies,"7,39,324"
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020,Trent,"7,35,165"
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046,Astral,"7,34,185"
SRF Ltd.,Chemicals,SRF,EQ,INE647A01010,SRF,"7,33,454"
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026,PB FinTech,"6,96,837"
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,Adani Enterprises,"6,90,142"
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020,Hindustan Aeronautics,"6,78,453"
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016,SBI Cards,"6,03,757"
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021,Grasim Industries,"5,82,587"
Tata Technologies Ltd.,Information Technology,TATATECH,EQ,INE142M01025,Tata Technologies,"5,62,514"
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012,Muthoot Finance,"5,42,445"
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020,Cummins,"5,32,967"
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020,Max Financial Services,"5,28,833"
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026,Pidilite Industries,"4,76,671"
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01032,Info Edge,"4,62,385"
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024,Cholamandalam Investment,"4,51,903"
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025,HDFC AMC,"4,41,813"
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027,Interglobe Aviation,"4,26,462"
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,Avenue Supermarts DMart,"4,23,959"
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026,Bharat Heavy Electricals,"4,23,694"
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010,Maruti Suzuki,"4,23,031"
LTIMindtree Ltd.,Information Technology,LTIM,EQ,INE214T01019,LTI Mindtree,"3,47,012"
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030,PI Industries,"3,35,525"
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022,Colgate Palmolive,"3,34,097"
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023,TVS Motors,"3,15,926"
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017,ICICI Lombard General Insurance,"3,12,123"
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010,Oberoi Realty,"3,11,537"
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018,Mphasis,"2,99,386"
Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI,EQ,INE619A01035,Patanjali Foods,"2,95,918"
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,Eicher Motors,"2,82,882"
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021,Persistent Systems,"2,77,817"
Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039,Phoenix Mills,"2,75,549"
